X1,X2,X3,X4
0.07140874,0.66208434,0.44800478,0.26631162
-1.6439816,-0.95639706,1.2057124,0.52401006
1.3647227,-0.16015644,-1.5482908,-0.7093635
-0.12717049,0.83378875,0.20659633,0.17642272
-0.09869524,0.71827185,0.59955305,0.40759572
-0.37896737,0.8814953,0.89888936,0.5327673
-1.0098584,-6.645478,-3.5747669,-1.2728393
0.39756238,2.159415,0.56208384,0.14362514
-1.2363317,1.3708559,2.299911,1.0221454
0.7143753,-1.6023186,-1.8463831,-1.043138
-1.0223758,-4.1762624,-1.6929187,-0.36355934
-0.69815767,-2.173738,-0.79882836,-0.4025749
0.34685045,0.853415,0.3981973,0.12329416
-0.44424257,-0.9441044,-0.18601637,-0.17054962
0.03172293,-0.7844358,-0.68987554,-0.47682592
-0.06676475,3.5393999,2.3531206,0.99891686
-0.07803057,0.8020294,0.59875214,0.5084899
0.21760415,-7.042443,-4.452247,-1.8164078
-0.18354543,-2.0412688,-1.0794599,-0.5587972
1.0221813,-1.7071728,-1.8439337,-0.82150227
-1.5176734,-0.7588272,1.020767,0.7258563
-0.6160684,-3.0454974,-1.5859848,-0.8294544
-2.2639172,1.0976456,3.1848667,1.7383057
-1.1417844,1.0576026,1.810014,1.1037922
0.45386872,3.8900673,1.8363405,0.98206455
0.14702429,-1.4768506,-1.192912,-0.7802255
-1.1787188,-0.61743975,0.68011475,0.47901526
-1.6255288,-1.846707,0.5534657,0.35813862
-0.8432452,-3.100185,-1.4558029,-0.58997214
0.7878556,3.541281,1.3058817,0.66139686
-0.41858727,-3.0137014,-1.5355481,-0.99621236
-1.0271144,4.678621,3.817386,1.8641967
-0.06949783,-0.061073873,-0.30619913,-0.11250967
-1.3933796,3.1065295,3.2357693,1.4725169
0.46488148,3.6017594,1.6856093,0.9504005
-1.0757936,-4.179567,-1.7841061,-0.6401518
-1.890625,3.918058,3.9604332,1.6502031
-0.31958693,-2.3236306,-1.3141944,-0.65139675
-0.009801062,-3.5316193,-2.2055838,-1.0875207
-0.33764195,1.3578216,0.9382427,0.5406792
0.9791123,-4.2031746,-3.5889034,-1.3193377
-0.27937025,2.116534,1.7373797,0.7034953
0.07802027,4.150231,2.4277956,0.7098824
-0.29182655,1.8905677,1.552841,0.67012256
-0.33262452,-0.75329787,-0.22502436,-0.2312801
0.37201607,4.438239,2.468976,0.8755881
0.9311402,1.7540842,0.2028576,0.2129683
-1.679897,-0.29443368,1.9551556,1.1160034
-0.26500618,-2.1080177,-0.99463844,-0.67384267
-0.18685742,0.3643892,0.053589042,0.16823304
-0.94784755,-2.9508579,-1.0293876,-0.4358746
0.64096916,4.549108,2.3389435,1.2026565
-1.3188009,-0.5020259,1.2134776,0.5978051
-0.40830657,-1.0126652,-0.5613535,-0.32236493
-0.94658124,-2.9578283,-1.332959,-0.91208553
-0.3267128,0.7256564,0.98354614,0.36375105
0.63489765,5.8368926,2.9953632,1.369045
-0.42308298,0.8145249,0.94552195,0.58832806
-0.8553033,1.4683952,1.4861361,0.9009934
0.045319006,-0.16878031,0.03247035,-0.0007608386
-1.5672007,-0.06931984,1.5638906,0.7332416
-0.46944377,-1.4243786,-0.39975363,-0.2067417
-0.7484695,0.63652396,1.2255614,0.53476393
0.074579574,4.017492,2.695554,1.226585
-0.34567308,0.98394907,0.96979314,0.7002265
-0.4817443,-1.0885549,-0.28982243,0.015987538
-0.7529478,0.18051842,0.8182303,0.3941063
-0.6171765,-3.3670182,-1.6526343,-0.6473988
-0.47376212,-0.8775318,-0.072874516,0.12153777
0.87215585,3.1297598,0.99533284,0.4474556
-0.632,-1.5551805,-0.46109685,-0.15820727
0.40920064,1.6239074,0.8347302,0.54688126
-1.3217437,1.2765121,2.2850244,1.1986527
-0.10758414,0.9651453,0.54818225,0.48406565
-0.9470601,2.8768067,2.7417638,1.414047
1.0878571,-1.7077965,-2.2097237,-1.265284
-0.14400312,2.6267228,1.839151,1.2092139
1.4448814,-0.39612207,-1.7935472,-0.70730186
-1.2234962,-2.9071805,-0.9233764,-0.26752064
0.47658017,-0.45831013,-0.73987055,-0.27386487
0.5521976,-0.33871886,-0.92738485,-0.486784
0.09051784,-0.18263909,-0.18027821,0.21474773
0.8247708,4.4514923,1.966082,0.9183746
-0.07163542,1.0355998,0.89867526,0.5871536
-0.83159107,-1.8211349,-0.5026632,-0.33457574
-0.17797123,4.575826,2.9921672,1.09021
-0.952527,-1.7142731,-0.120276816,-0.110864274
1.4536331,4.1186137,1.0738975,0.30651984
-1.2232482,-4.4138417,-2.0231745,-0.93022525
-0.29910308,-0.041267324,0.08539881,0.008240619
-1.3468654,0.8745966,1.5698313,0.82118464
0.57328784,4.140221,1.9392359,0.77228296
0.90579224,2.6997514,0.7040118,0.18139206
0.42456225,0.59307384,-0.12641264,-0.22476122
-1.2023954,1.6981381,2.736106,1.4573959
1.17859,3.6551106,0.96878606,0.8477866
-0.32428986,-1.2977564,-0.4573552,-0.39997852
